지점번호,도,시,지번주소,권역,법정동,세부주소,위도,경도,일반쓰레기배출규칙,음식물쓰레기배출규칙,재활용품배출규칙,일반쓰레기수거일,음식물쓰레기수거일,재활용품수거일,일반쓰레기수거시작시간,일반쓰레기수거종료시간,음식물쓰레기수거시작시간,음식물쓰레기수거종료시간,재활용품수거시작시간,재활용품수거종료시간,미수거일,데이터수집일자,데이터기준일
4211010000000 ,강원도,춘천시,후평동 887,3권역,후평동,제이hair,37.87483949,127.75791830,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-11-11,2022-12-15
4211010000000 ,강원도,춘천시,후평동 868,3권역,후평동,유키의 머리공방 건너,37.87706977,127.75726790,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-11-11,2022-12-15
4211010000000 ,강원도,춘천시,후평동 876-10,3권역,후평동,워낭 옆,37.87551369,127.75800830,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-11-11,2022-12-15
4211010000000 ,강원도,춘천시,온의동 123-15,5권역,온의동,코코살롱 앞,37.86491367,127.71929180,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-08-24,2022-12-15
4211010000000 ,강원도,춘천시,온의동 35-4,5권역,온의동,소망축산 앞,37.86816693,127.71706090,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-08-24,2022-12-15
4211010000000 ,강원도,춘천시,온의동 149-5,5권역,온의동,새마을금고atm,37.86731551,127.71804890,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-08-24,2022-12-15
4211010000000 ,강원도,춘천시,효자동 356-11,4권역,효자동,공지로264번길 23,37.86717343,127.73585060,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-09-03,2022-12-15
4211010000000 ,강원도,춘천시,후평동 157-23,3권역,후평동,수풀이앤지 앞,37.89058973,127.75219960,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-11-17,2022-12-15
4211010000000 ,강원도,춘천시,후평동 157-25,3권역,후평동,케이에스미트 건너,37.88979701,127.75175120,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-11-17,2022-12-15
4211010000000 ,강원도,춘천시,후평동 245-50,3권역,후평동,가로등 032-08,37.88952927,127.74943260,"쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출","음식물 쓰레기봉투를 사용하여 지정된 날짜, 시간에 수거위치에 배출",재활용품별로 모아서 지정된 장소와 시간에 배출,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,토,2022-11-17,2022-12-15
